[2024-01-24 20:09:42] app.INFO: Generate txt template password at C:\xampp\htdocs\exercice/mails\ar\password.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template password_query at C:\xampp\htdocs\exercice/mails\ar\password_query.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template password_query at C:\xampp\htdocs\exercice/mails\ar\password_query.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template payment at C:\xampp\htdocs\exercice/mails\ar\payment.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template payment at C:\xampp\htdocs\exercice/mails\ar\payment.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template payment_error at C:\xampp\htdocs\exercice/mails\ar\payment_error.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template payment_error at C:\xampp\htdocs\exercice/mails\ar\payment_error.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template preparation at C:\xampp\htdocs\exercice/mails\ar\preparation.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template preparation at C:\xampp\htdocs\exercice/mails\ar\preparation.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template productoutofstock at C:\xampp\htdocs\exercice/mails\ar\productoutofstock.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template productoutofstock at C:\xampp\htdocs\exercice/mails\ar\productoutofstock.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template refund at C:\xampp\htdocs\exercice/mails\ar\refund.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template refund at C:\xampp\htdocs\exercice/mails\ar\refund.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template reply_msg at C:\xampp\htdocs\exercice/mails\ar\reply_msg.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template reply_msg at C:\xampp\htdocs\exercice/mails\ar\reply_msg.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template shipped at C:\xampp\htdocs\exercice/mails\ar\shipped.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template shipped at C:\xampp\htdocs\exercice/mails\ar\shipped.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template test at C:\xampp\htdocs\exercice/mails\ar\test.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template test at C:\xampp\htdocs\exercice/mails\ar\test.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template voucher at C:\xampp\htdocs\exercice/mails\ar\voucher.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template voucher at C:\xampp\htdocs\exercice/mails\ar\voucher.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template voucher_new at C:\xampp\htdocs\exercice/mails\ar\voucher_new.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template voucher_new at C:\xampp\htdocs\exercice/mails\ar\voucher_new.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template followup_1 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_1.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template followup_1 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_1.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template followup_2 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_2.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template followup_2 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_2.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template followup_3 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_3.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template followup_3 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_3.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template followup_4 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_4.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template followup_4 at C:\xampp\htdocs\exercice/modules/\followup\mails\ar\followup_4.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template customer_qty at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\customer_qty.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template customer_qty at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\customer_qty.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template new_order at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\new_order.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template new_order at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\new_order.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template order_changed at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\order_changed.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template order_changed at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\order_changed.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template productcoverage at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\productcoverage.html [] []
